                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 2.1312,                0.90823,                0.83447,                0.75366,                0.56022,                0.65223,                0.23705,                 2.0703,                0.75887,                0.63021,              0.0006338,              0.0006338,              0.0006338
                     71,                  2.125,                0.90349,                0.83222,                0.77516,                0.69014,                0.69675,                 0.2676,                 1.9571,                 0.7086,                0.65614,               0.000614,               0.000614,               0.000614
                     72,                 2.0842,                0.92493,                0.84116,                0.71108,                0.66197,                0.65937,                0.23389,                 2.0444,                0.87235,                0.62963,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.1487,                0.93495,                0.85381,                0.74512,                0.61766,                0.65235,                0.26776,                 1.9189,                0.85499,                0.67995,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.1186,                0.89945,                0.83385,                0.78039,                0.60065,                0.73035,                0.30641,                  1.799,                0.70908,                0.67316,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.1525,                0.89493,                0.83529,                0.78689,                0.57212,                0.68459,                0.28738,                 1.9261,                0.71837,                0.65089,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.0929,                0.87486,                0.83302,                0.85359,                  0.657,                0.79929,                0.33069,                 1.8088,                0.78003,                0.67393,               0.000515,               0.000515,               0.000515
                     77,                 2.1255,                0.91303,                0.83278,                0.80467,                0.58027,                0.73871,                0.29773,                   1.96,                0.69801,                0.64258,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.1221,                0.84975,                 0.8317,                0.69419,                0.57551,                0.65387,                 0.2868,                 1.8046,                0.67634,                0.67576,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.0886,                0.86503,                0.83523,                 0.7618,                0.58562,                0.73918,                0.31468,                  1.768,                0.69457,                 0.6823,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.0536,                0.89402,                0.82733,                0.71907,                0.67606,                0.73429,                 0.3094,                 1.8517,                0.82813,                0.65633,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.9936,                0.88086,                0.83028,                0.79544,                0.64789,                0.79251,                0.33301,                 1.8381,                0.70955,                0.64877,               0.000416,               0.000416,               0.000416
                     82,                 2.0753,                0.85723,                0.83838,                0.81347,                0.55287,                0.75789,                0.31677,                 1.8828,                0.70913,                0.66208,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.0177,                0.82649,                0.84303,                0.78422,                0.64789,                0.76118,                0.31024,                 1.7972,                0.72012,                0.66905,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.0113,                0.79397,                0.84278,                0.72182,                 0.6338,                0.69995,                0.30009,                 1.8574,                0.74528,                0.66599,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.0063,                0.81472,                0.85833,                0.80023,                0.62063,                0.77322,                0.33703,                 1.8483,                0.75952,                0.65448,              0.0003368,              0.0003368,              0.0003368
